id,topics,texts
4616,dlr,"miyazawa says exchange rates will stay stablefinance minister kiichi miyazawa told apress conference he thinks exchange rates will remain stabledue to the currency accord reached in paris last month by sixmajor industrialised nations but he did not say for how long.    the dollar has hovered around 153 yen since the six agreedto cooperate to bring about currency stability.    asked to comment on remarks by some u.s. officials callingfor a further decline of the dollar, miyazawa said only theu.s. president and the u.s. treasury secretary can makeofficial statements about exchange rates. reuter"
4633,yen,"japan minister says about 170 yen appropriateinternational trade and industry ministerhajime tamura told a parliamentary session japans small- andmedium-sized enterprises are seriously suffering from the yensrise and can only stand levels around 170 yen.    he also said he still believes a dollar exchange rate levelplus or minus 10 yen from 170 yen would be within levels agreedupon last month in paris by six major industrial nations.finance ministers of britain, canada, france, japan, the u.s.and west germany agreed on february 22 to cooperate instabilizing exchange rates around the current levels. thedollar had closed here at 153.77 yen on february 20. reuter"
10344,dfl,"economic spotlight - dutch exchange rate policyrecent slackness on dutch capitalmarkets has led some bankers to question the central bankspolicy of pegging the guilder firmly to the west german markand to ask for more flexiblility in exchange rate policy.    while agreeing with the banks commitment to defend theguilder strongly, some bankers want the bank to make more useof the range within which the guilder and the mark canfluctuate against each other in the european monetary system(ems).    roelof nelissen, chairman of amsterdam-rotterdam bank nv(amro) said the central banks policy was overcautious.    ""i would like to suggest that the bank use more freely therange given to the guilder in the ems,"" nelissen said at thepresentation of amros 1986 annual report last week.    within the ems, the mark is allowed to fluctuate againstthe guilder between 110.1675 and 115.235 guilders per 100.    the central bank maintains a stricter policy and tries tokeep the mark below the 113.00 guilders per 100. it regards astable exchange rate as its main target, using interest ratepolicies to influence the exchange rate.    the preference of exchange rate goals above interest rateaims goes almost undisputed in the netherlands.    critics say the bank keeps the reins unnecessarily short.    rabobank nederland said in its latest economic bulletin: ""bymaintaining the 113.00 limit, the central bank raises theexpectation it will always intervene above that level. if itsuddenly needs more flexibility it will find it very hard toobtain.""    amros nelissen said relatively small changes in interestrates and exchange rates could cause substantial flows ofsecurities business and sharp fluctuations on the dutch capitalmarket. large interest rate changes were often needed to bringabout small changes in the guilder/mark exchange rate, headded.    unlike amro, algemene bank nederland nv (abn) says this isa price the dutch have to pay. it fully agrees with the centralbanks policy, director-general julien geertsema told reuters,noting a 1983 decision not to revalue the guilder fully withthe mark in the ems hurt confidence in the dutch currency.    ""it is a pity we need such a wide interest rate differencebetween west germany to maintain the exchange rate,"" he added.    interest rate differentials between west germany and thenetherlands are the main factors that trigger capital flowsbetween the two countries, as the economic performance of thetwo does not differ much, economists said.    data on 1986 capital flows between west germany and thenetherlands have not yet been released, but in 1985 theyaccounted for only 10 pct of total trade flows between the twocountries, put at 110 billion guilders for 1986 by thedutch-german chamber of commerce earlier this month.    economists say capital flows are more sensitive to interestand exchange rates.    west germany is the netherlands largest single tradingpartner, taking 28 pct of dutch exports and providing 26 pct ofimports in the last quarter of 1986, central bureau ofstatistics figures show.    at the moment, the rates for three month euromark depositstrade around 4.0 pct while the same deposits in guilders have arate of around 5-7/16 pct.    amro bank argues that the dutch real interest rate willeven rise further because of expectations of deflation here in1987, contrasting with slight inflation in west germany.    in the netherlands, the cost of living is expected todecrease by 1.5 pct at a gnp growth rate of two pct, the dutchcentral planning agency said in its 1987 forecast last month.german gnp is seen rising by two to 2.5 pct, but with inflationbetween zero and 1.0 pct, according to most german forecasts.    but despite this upward push on real dutch rates, moneydealers do not expect the central bank to cut official ratesindependently without prior moves by the bundesbank.    following the west german interest rate cuts on january 22,the dutch central bank did not lower its rates but set a 0.5pct lower tariff for special advances and abandoned its creditsurcharge. most traders were surprised by this move as they hadexpected the bank to follow suit unconditionally, they said.    the bank said it lowered the rate with the largest impacton the money market as far as the exchange rate permitted.    while not entirely unsympathetic to critics of itspolicies, the central bank keeps its grip firm and the rangenarrow.    ""the european monetary system is not only a relationshipbetween the guilder and the mark. many times widening of themargin between the two would implicate we have to buy or selllarge amounts of a third currency,"" central bank vice-directorjan-hendrik du marchie sarvaas said.    ""if we allowed the guilder to become a little cheaper, themarkets would start to believe it was weak. we dont want that.we want to make clear that the guilder is just as strong as themark,"" he said. reuter"
10636,lit,"italy relaxes restrictions on lira importsitaly is to modify restrictions limitingthe amount of lira cash that can be brought in and out of thecountry, the foreign trade ministry said.    a statement said foreign trade minister rino formica hassigned a measure lifting currency regulations that currentlyimpose a 400,000 lire limit on the value of lira bank notesthat can be brought into italy. it did not say when the newmeasure would come into force.    in future, there will be no limit to the amount of lirabank notes both residents and non-residents can bring intoitaly.    the statement said the 400,000 lire limit would remain foritalian residents wishing to take cash out of the country, butnon-residents could re-export lira cash if they madeappropriate declarations at customs points.    it said the lifting of the restrictions ""reinforces theinternational status of the lira and meets the requirementsexpressed several times by foreign exchange dealers."" reuter"
10718,rupiah,"indonesian rupiah slips against mark and yenthe indonesian rupiah has held steadysince its 31 pct devaluation against the dollar six months ago,but has slipped against the mark and to a lesser extent againstthe yen, according to central bank figures.    in the past month, the rupiah has fallen five pct againstthe yen. todays middle rate per 100 yen was 1,129.78 against1,075.20 at end-february and 1,058.6 at devaluation inseptember.    bank indonesias quoted rate for the dollar, the maincurrency for indonesias oil and gas exports, was 1,644.0today, the same rate fixed at the time of devaluation.    the rate for the west german mark was 913.28 today, a sharpdrop from september when it was 786.06.    the british pound has risen to 2,657.93 against 2,429.83.   the value of the rupiah is set daily against a basket ofcurrencies by the central bank.    the rise in the value of the mark and the yen has hitindonesia by increasing its debt servicing levels. its totaldisbursed foreign debt is estimated by the world bank at 37billion dlrs.    japan is one of indonesias key trading partners, takinghalf its oil exports. reuter"
10718,dmk,"indonesian rupiah slips against mark and yenthe indonesian rupiah has held steadysince its 31 pct devaluation against the dollar six months ago,but has slipped against the mark and to a lesser extent againstthe yen, according to central bank figures.    in the past month, the rupiah has fallen five pct againstthe yen. todays middle rate per 100 yen was 1,129.78 against1,075.20 at end-february and 1,058.6 at devaluation inseptember.    bank indonesias quoted rate for the dollar, the maincurrency for indonesias oil and gas exports, was 1,644.0today, the same rate fixed at the time of devaluation.    the rate for the west german mark was 913.28 today, a sharpdrop from september when it was 786.06.    the british pound has risen to 2,657.93 against 2,429.83.   the value of the rupiah is set daily against a basket ofcurrencies by the central bank.    the rise in the value of the mark and the yen has hitindonesia by increasing its debt servicing levels. its totaldisbursed foreign debt is estimated by the world bank at 37billion dlrs.    japan is one of indonesias key trading partners, takinghalf its oil exports. reuter"
10931,nzdlr,"u.s. corporate finance - new zealand dlr frnsfloating-rate notes denominated in aforeign currency, a relatively new wrinkle on wall street, willprobably be issued infrequently because the so-called ""windowof opportunity"" opens and closes quickly, traders say.    ""in just two days we had as many issues. as a result, themarket became glutted,"" said one trader.    he said the window depends more on supply than on foreignexchange or interest rate risk, at least for the moment.""obviously, currency risk is important. but there is a limitednumber of investors right now for the paper,"" he said.    on thursday, bear, stearns and co sole-managed a 100 mlnnew zealand dlr offering of three-year floating-rate notesissued by ford motor credit co, a unit of ford motor co <f>.    the initial rate for the notes will be set on april 15, andquarterly after that, at 200 basis points below the 90-day newzealand bank bill rate. they are non-callable for life.    this followed by a week another bear stearns-led offeringof the same amount of new zealand dollar notes for dow chemicalco <dow>. the initial rate was also to be initially set onapril 15, and quarterly after that, at 340 basis points belowthe same 90-day new zealand rate.    because the dow chemical notes carried an interest ratefloor of 17 pct, the issue saw strong investor demand,underwriters said.    but the ford credit notes and fridays offering of 130 mlnnew zealand dlrs of floating-rate notes due 1990 issued bygeneral electric cos <ge> general electric credit corp viaprudential-bache securities inc, did not have such a floor.    ""obviously, the two firms did not want to issue floatersand face the risk of new zealand rates falling sharply,"" anunderwriter away from the syndicates said. he and others notedthat the new zealand 90-day rate was 27 pct late last week.    an underwriter familiar with the dow chemical deal pointedout that because of the interest rate and currency swaps dowdid, the issuer felt comfortable setting a rate floor.    domestic offerings of foreign currency denominated datefirst surfaced in fall 1985. by using currency and rate swaps,companies can sell debt that pays a high interest rate in aforeign currency like australian or new zealand dollars. butthe issuers actually realize savings on borrowing costs.    ""i would say that every company which issued foreigncurrency debt saved some basis points when compared tosame-maturity plain vanilla u.s. issues,"" an analyst said.    investors, mainly institutions, were attracted to the earlyissues because of the high interest rates. they were willing toabsorb foreign currency risk until mid-1986, when sharp slidesposted by the australian and new zealand dollars brought suchissuance to a quick halt.    it was not until late last year, after the currenciesstabilized, that companies again started issuing debtdenominated in australian and new zealand dollars.    but many investors have still shied away from the debt,remembering the mid-1986 downturn of the australian and newzealand dollars, analysts noted.    to attract some of those investors back to the fold,underwriters like bear stearns decided to structure the foreigncurrency issues as floating rate debt, sources said.    this occurred against a backdrop of uncertainty over thecourse of u.s. interest rates for the intermediate term, andpredictions by a number of economists that treasury yieldswould rise in the second half of the year, the sources noted.    a bear stearns officer said more than half of the fordcredit notes were sold by late friday afternoon, the second dayof offering. ""that is quicker than some recent fixed-rate newzealand dollar note issues,"" he said.    however, underwriters away from the bear stearns syndicatesaid the issue may have sold even faster if prudential-bachedid not offer the general electric credit notes on friday.    they pointed out that the ford notes were rated a-1 bymoodys investors and aa-minus by standard and poors, whilethe general electric notes, which had the same interest rateterms and were also non-callable to maturity, carriedtop-flight aaa ratings by both agencies.    ""we have sold 20 to 25 pct of the ge notes. for first-daysales on a friday afternoon, im happy with the results,"" anofficer on prudential-baches syndicate desk said.    investors pay the u.s. dollar equivalent of the foreigncurrency-denominated notes, underwriters said.    investment bankers said the next floating-rate issue of newzealand or australian dollar-denominated debt is probably a fewweeks away.    ""i would like to underwrite a deal a day. but with the dow,ford and ge offerings, the marketplace has had enough for thetime being,"" the prudential-bache officer admitted.    meanwhile, idd information services said the 30-daycorporate visible supply fell to 3.29 billion dlrs last weekfrom 3.98 billion dlrs in the previous week. reuter"
10931,austdlr,"u.s. corporate finance - new zealand dlr frnsfloating-rate notes denominated in aforeign currency, a relatively new wrinkle on wall street, willprobably be issued infrequently because the so-called ""windowof opportunity"" opens and closes quickly, traders say.    ""in just two days we had as many issues. as a result, themarket became glutted,"" said one trader.    he said the window depends more on supply than on foreignexchange or interest rate risk, at least for the moment.""obviously, currency risk is important. but there is a limitednumber of investors right now for the paper,"" he said.    on thursday, bear, stearns and co sole-managed a 100 mlnnew zealand dlr offering of three-year floating-rate notesissued by ford motor credit co, a unit of ford motor co <f>.    the initial rate for the notes will be set on april 15, andquarterly after that, at 200 basis points below the 90-day newzealand bank bill rate. they are non-callable for life.    this followed by a week another bear stearns-led offeringof the same amount of new zealand dollar notes for dow chemicalco <dow>. the initial rate was also to be initially set onapril 15, and quarterly after that, at 340 basis points belowthe same 90-day new zealand rate.    because the dow chemical notes carried an interest ratefloor of 17 pct, the issue saw strong investor demand,underwriters said.    but the ford credit notes and fridays offering of 130 mlnnew zealand dlrs of floating-rate notes due 1990 issued bygeneral electric cos <ge> general electric credit corp viaprudential-bache securities inc, did not have such a floor.    ""obviously, the two firms did not want to issue floatersand face the risk of new zealand rates falling sharply,"" anunderwriter away from the syndicates said. he and others notedthat the new zealand 90-day rate was 27 pct late last week.    an underwriter familiar with the dow chemical deal pointedout that because of the interest rate and currency swaps dowdid, the issuer felt comfortable setting a rate floor.    domestic offerings of foreign currency denominated datefirst surfaced in fall 1985. by using currency and rate swaps,companies can sell debt that pays a high interest rate in aforeign currency like australian or new zealand dollars. butthe issuers actually realize savings on borrowing costs.    ""i would say that every company which issued foreigncurrency debt saved some basis points when compared tosame-maturity plain vanilla u.s. issues,"" an analyst said.    investors, mainly institutions, were attracted to the earlyissues because of the high interest rates. they were willing toabsorb foreign currency risk until mid-1986, when sharp slidesposted by the australian and new zealand dollars brought suchissuance to a quick halt.    it was not until late last year, after the currenciesstabilized, that companies again started issuing debtdenominated in australian and new zealand dollars.    but many investors have still shied away from the debt,remembering the mid-1986 downturn of the australian and newzealand dollars, analysts noted.    to attract some of those investors back to the fold,underwriters like bear stearns decided to structure the foreigncurrency issues as floating rate debt, sources said.    this occurred against a backdrop of uncertainty over thecourse of u.s. interest rates for the intermediate term, andpredictions by a number of economists that treasury yieldswould rise in the second half of the year, the sources noted.    a bear stearns officer said more than half of the fordcredit notes were sold by late friday afternoon, the second dayof offering. ""that is quicker than some recent fixed-rate newzealand dollar note issues,"" he said.    however, underwriters away from the bear stearns syndicatesaid the issue may have sold even faster if prudential-bachedid not offer the general electric credit notes on friday.    they pointed out that the ford notes were rated a-1 bymoodys investors and aa-minus by standard and poors, whilethe general electric notes, which had the same interest rateterms and were also non-callable to maturity, carriedtop-flight aaa ratings by both agencies.    ""we have sold 20 to 25 pct of the ge notes. for first-daysales on a friday afternoon, im happy with the results,"" anofficer on prudential-baches syndicate desk said.    investors pay the u.s. dollar equivalent of the foreigncurrency-denominated notes, underwriters said.    investment bankers said the next floating-rate issue of newzealand or australian dollar-denominated debt is probably a fewweeks away.    ""i would like to underwrite a deal a day. but with the dow,ford and ge offerings, the marketplace has had enough for thetime being,"" the prudential-bache officer admitted.    meanwhile, idd information services said the 30-daycorporate visible supply fell to 3.29 billion dlrs last weekfrom 3.98 billion dlrs in the previous week. reuter"
11000,stg,"paris meet agreed not to publish bands - lawsonu.k. chancellor of the exchequer nigellawson said the meeting of six major industrial nations inparis last month agreed not to publish any bands in connectionwith their pact to stabilise currencies.    questioned by a parliamentary select committee about whythe participating countries had not announced any bands, lawsonreplied, ""we all agreed it would be much more sensible not to.""when asked whether that meant an informal joint currency floatwith set ranges was arranged in paris, lawson said ""i do notwant to reveal the precise nature of the agreement, so as notto make it easy for"" speculation against the accord.    lawson said the paris accord presumed that individualcountries would take corrective action if their currency beganreacting significantly to domestic macroeconomic factors.    but if such movements were due to extraneous factors,lawson said the other pact countries would come to its aidthrough concerted intervention on the foreign exchanges.    ""it is clear that both germany and japan are havingdifficulty adjusting to their very large exchange rateappreciations and making their economies more domesticallyoriented, just as it is taking time for the united states tomake its own economy more export oriented,"" lawson said.    in his oral evidence to parliaments select treasurycommittee, lawson repeated that he was happy with the poundscurrent level, adding that ""it is an objective ... to try tokeep it around that level.""    he said the perception of sterling on foreign exchanges hadchanged since the steep drop in oil prices, largely because thepound had weathered that period so successfully. ""there has beena reassessment of sterlings fundamentals,"" lawson said.  hedisagreed with what he termed ""the grossly exaggerated claim""that real u.k. interest rates were much higher than those ofother major industrialsed countries.    using as a reference the key three-month sterling interbankrate as quoted in london, lawson said britain now had a realinterest rate level of 5.75 pct - the same as japan did andonly a 0.75 percentaage point above the group of five average.    lawson confirmed that ""over the medium and longer term, thegovernments objective is zero inflation.""    he said the governments intention of its psbr constant at1.0 pct of gdp ""is the modern equivalent of the balanced budgetdoctrine.""  he added that ""to allow the debt/gdp ratio to remainconstant on anything other than zero inflation basis is simplya recipe for accelerating inflation."" reuter"
11972,skr,finland revises currency basketthe bank of finland said it has revisedthe weightings in its currency basket with effect from today.weightings  match the respective countrys share in finlandsforeign trade.    weights in percentages compared with former weights.    dollar  9.0 (8.8)    sterling 14.3 (13.8)    swedish crown 20.4 (20.6)    norwegian crown 5.2 (5.2)    danish crown 5.2 (5.3)    german mark 19.3 (19.6)reuter^m
