id,topics,texts
4016,iron-steel,"usx <x> proved oil, gas reserves fall in 1986usx corp said proved reserves of oiland natural gas liquids fell 28 pct to 802.8 mln barrels at theend of 1986 from 1.12 billion barrels at year-end 1985.    the figures, in usxs just-released 1986 annual report,indicate much of the drop resulted from the exclusion of 293.7mln barrels of libyan reserves, after the u.s. government lastjune directed u.s. oil companies to end libyan operations.    usx, which owns marathon oil co and texas oil and gas corp,had 60 pct of its 1986 sales of 14.94 billion dlrs from its oiland gas operations.    about 24 pct of total sales came from usxs uss steel unitand 16 pct from diversified businesses, which include oilfieldservices, raw materials, minerals, chemicals and real estate.    according to the report, domestic liquids reserves fellslightly to 628.5 mln barrels from 628.9 mln and foreignreserves fell to 174.3 mln from 486.4 mln barrels. the largedrop in foreign reserves was in the middle east and africa,where they fell to about 9.3 mln barrels from 316.7 mln,reflecting the exclusion of libya.    total natural gas reserves fell to 4.82 trillion cubic feetat year-end 1986 from 5.18 trillion at the end of 1985.    again, most of the drop came from the middle east andafrica, where reserves fell to zero from 71.9 billion cubicfeet, excluding libyan reserves.    u.s. natural gas reserves fell to 3.44 trillion cubic feetfrom 3.65 trillion and foreign reserves fell to 1.38 trillionfrom 1.53 trillion.    in other areas, usx said total capital spending fell to 962mln dlrs in 1986 from 1.78 billion dlrs in 1985. the 1986audited figure is eight mln dlrs higher than the unauditedfigure the company reported on jan 27.    usx also said it expects to record a gain of 150 mln dlrsin 1988, representing 50 pct of previously existing investmenttax credits allowable under the new tax law. the loss of theother half of the credits was reflected in the fourth quarter.    in a discussion of steel results, usx said plants that wereshut down last month and some previously idled plants may bepermanently closed. usx took a fourth quarter charge of 1.03billion dlrs to restructure its steel operations. the chargeincluded the ""indefinite idling"" last month of four plants inutah, pennsylvania and texas.    other plants or parts of plants in pennsylvania, indiana,alabama, ohio and chicago had been previously idled.    ""these operations are not permanently shut down. improvedmarket conditions for the products from these plants may makeit feasible to reopen some of them,"" usx said in the report.    ""on the other hand, a lack of any future market improvementmay necessitate their permanent closing,"" it added. reuter"
4022,carcass,"argentine meat exports higher in jan/feb 1987argentine meat exports duringjan/feb 1987 totalled 39,714 tonnes, against 36,594 tonnesshipped in the same 1986 period, national meat board said.    shipments in tonnes with comparative figures for the 1986period, in brackets, included: beef 26,945 (20,096), horse meat3,257 (4,211) and beef offal 7,660 (10,502).    argentines meat exports totalled 20,243 tonnes in february1987, against 19,217 tonnes shipped in the same 1986 month.    shipments in tonnes, with comparative figures for february1986, in brackets, included: beef 13,272 (11,464), horse meat1,543 (2,083) and beef offal 4,476 (4,672), the board added.    main destinations for refrigerated beef (bone inequivalent) were as follows, in tonnes, with comparativefigures for 1986 in brackets -    ec 5,500 (7,900), brazil 5,200 (unavailable), israel 3,700(3,000), peru 2,500 (800), singapore 500 (300), switzerland 500(400), canary islands 500 (300), malta 500 (700), aruba/curazao200 (300), chile 100 (600).    main destinations for canned meat and cooked beef (bone inequivalent), in tonnes with comparative figures for jan/feb1986, in brackets, were -    united states 11,200 (13,400), ec 4,700 (5,100). reuter"
4022,livestock,"argentine meat exports higher in jan/feb 1987argentine meat exports duringjan/feb 1987 totalled 39,714 tonnes, against 36,594 tonnesshipped in the same 1986 period, national meat board said.    shipments in tonnes with comparative figures for the 1986period, in brackets, included: beef 26,945 (20,096), horse meat3,257 (4,211) and beef offal 7,660 (10,502).    argentines meat exports totalled 20,243 tonnes in february1987, against 19,217 tonnes shipped in the same 1986 month.    shipments in tonnes, with comparative figures for february1986, in brackets, included: beef 13,272 (11,464), horse meat1,543 (2,083) and beef offal 4,476 (4,672), the board added.    main destinations for refrigerated beef (bone inequivalent) were as follows, in tonnes, with comparativefigures for 1986 in brackets -    ec 5,500 (7,900), brazil 5,200 (unavailable), israel 3,700(3,000), peru 2,500 (800), singapore 500 (300), switzerland 500(400), canary islands 500 (300), malta 500 (700), aruba/curazao200 (300), chile 100 (600).    main destinations for canned meat and cooked beef (bone inequivalent), in tonnes with comparative figures for jan/feb1986, in brackets, were -    united states 11,200 (13,400), ec 4,700 (5,100). reuter"
4035,veg-oil,"british minister criticises proposed ec oils taxa british minister said that a proposedeuropean community tax on vegetable oils and fats would raisethe price of fish and chips and he pledged the government wouldfight against it.    lord belstead, a junior agriculture minister, told thehouse of lords the tax would raise the price of raw materialsused in many processed foods by about 100 pct.    he said revenue should not be raised by taxing the consumerand called the proposal ""repugnant."" reuter"
4040,oilseed,"china's rapeseed crop damaged by stormsthe yield on 46,000 hectares (ha) ofrapeseed in central china will be cut by up to 70 pct byhailstorms and tornadoes that swept across nearly 100,000 ha ofcrops on march 6, the new china news agency said today.    the storm, which lashed the huai and yangtze rivers andeastern anhui province, left two people dead and 800 othersinjured. some 800 houses were flattened and 19 boats sunk, itsaid.    the anhui provincial government has sent emergency reliefto the 19 counties affected, the news agency said. reuter"
4040,rapeseed,"china's rapeseed crop damaged by stormsthe yield on 46,000 hectares (ha) ofrapeseed in central china will be cut by up to 70 pct byhailstorms and tornadoes that swept across nearly 100,000 ha ofcrops on march 6, the new china news agency said today.    the storm, which lashed the huai and yangtze rivers andeastern anhui province, left two people dead and 800 othersinjured. some 800 houses were flattened and 19 boats sunk, itsaid.    the anhui provincial government has sent emergency reliefto the 19 counties affected, the news agency said. reuter"
4047,grain,"taiwan's first quarter maize imports seen risingtaiwans maize import commitments areexpected to rise to 970,000 tonnes in the first four months of1987 from 870,000 tonnes a year earlier, a spokesman for thejoint committee of maize importers told reuters.    he said more than 75 pct of the imports come from the u.s.and the rest from south africa.    the maize import target for calendar 1987 is set at wellover 3.4 mln tonnes compared with an actual 3.07 mln in 1985,he added. reuter"
4047,corn,"taiwan's first quarter maize imports seen risingtaiwans maize import commitments areexpected to rise to 970,000 tonnes in the first four months of1987 from 870,000 tonnes a year earlier, a spokesman for thejoint committee of maize importers told reuters.    he said more than 75 pct of the imports come from the u.s.and the rest from south africa.    the maize import target for calendar 1987 is set at wellover 3.4 mln tonnes compared with an actual 3.07 mln in 1985,he added. reuter"
4049,iron-steel,"economic spotlight - mitsubishi heavy fights backinternational efforts to redirect japansexport-driven economy toward domestic consumption face heavygoing if the countrys largest defence contractor and worldsbiggest shipbuilder is anything to go by.    mitsubishi heavy industries ltd <mith.t> (mhi), which beganmaking ships and iron goods for japans military rulers 130years ago, is responding to the strong yen by redoubling itsefforts to maintain its share of export markets.    ""if we sell the best quality and the cheapest products,everyone will buy them,"" mhi president yotaro iida said.    although two of mhis main businesses, shipbuilding andpower plant construction, have been hit hard by the yens 40pct rise against the dollar, the company has no plans toabandon them, iida told reuters in an interview.    its other big activity, aircraft component manufacture, hasperformed so well that mhi now accounts for half of the moneytokyo spends on defence procurement each year.    ""we have made the utmost efforts among the worldsmanufacturers to improve productivity,"" he said. ""you may besurprised if you come to see our plants. the outside is old butthe inside is ultra-modern, with robots and computers.""    securities analysts at major securities houses agreed thatmhi has pared costs more quickly than its competitors. thecompany has slashed its workforce to 47,000 from 86,000 in1976.    despite its cost-cutting, mhi expects profits to drop 40pct to 30 billion yen in the current fiscal year ending march31, from 1985/86s record 50.14 billion.    and that includes gains from the sale of mhis stake inmitsubishi motors corp <mimt.t> for 49 billion yen.    iida is optimistic about the future, however. he said aresurgence of demand from the middle east following the recentrecovery in oil prices coupled with persistent demand for powerplants in developing countries will help mhi restore itsexports-to-sales ratio to the past decades average of 30 pct.    mhis exports-to-sales ratio fell to 25.9 pct in thehalf-year ended last september, from 35 to 36 pct five yearsago.    china is the most promising market, although mhi alsoconsiders other non-oil-producing developing countries as majorcustomers.    ""our customers are all seen as being in trouble due to alack of foreign currency,"" iida said. but he added that he feltmhi could sell to those markets with japanese governmentfinancial support.    it can also finance the plants itself and recover itsinvestment through product sales, a strategy iida said couldprove popular in the future.    in shipping, mhi is fighting back against low-priced southkorean competition by building more technologically advancedcarriers to carry liquefied natural gas and other productsdifficult to transport.    shipbuilders association officials told reuters mhi is theworlds largest shipbuilder in terms of orders and capacity.    domestically, mhi is involved in 12 national projects,including development of nuclear fusion reactors and launchvehicles for man-made satellites.    it has been the biggest contractor for the japan defenceagencys f-15 and f-14 jet fighters and missiles, although allof these have been built under licence from u.s. firms.    mhi is now heading up five japanese companies seeking todevelop the countrys own fighter plane to replace thecurrently used f-1 support fighters in the late 1990s.    military experts said washington is putting strong pressureon tokyo to buy a u.s. plane, either the mcdonnell douglas corpf-18 or general dynamics corp f-16, to reduce japans hugetrade surplus with the u.s.    ""it might be a good idea to jointly produce planes with u.s.makers as japan is supported by the u.s. defence umbrella,"" iidasaid.    mhi also plans to cooperate with the u.s. in its strategicdefence initiative space defence program by participating inthe project when it moves from the research stage, he said.    the u.s. has been seeking japans technological support.    in fiscal 1985/86, aircraft accounted for 17.1 pct of mhissales, shipbuilding 17 pct and power plants 27.9 pct. iida saidthe ideal ratio is power plants 30 pct, aircraft and specialvehicles 25 pct and shipbuilding 15 pct.    as for the remaining 30 pct, iida said he wanted to shiftthe domestic focus away from heavy machinery sold tomanufacturers and towards household goods, but he declined tospecify which products.    ""by the end of this year, you may find our brand name onyour daily products, although this does not mean we will runaway from our mainstream business,"" he said. reuter"
4056,cotton,"s.korea to buy more cotton, especially u.s. cottonsouth korea plans to import about 387,000tonnes of cotton this year compared to 225,000 tonnes in 1986,trade ministry officials said.    more than three quarters of the total, some 290,000 tonnes,will come from the united states. that will be a 93.7 pctincrease on 1986 when u.s. imports totalled 150,000 tonnes, anofficial said.    he said the u.s. increase is due partly to thecompetitiveness of american cotton and partly to efforts byseoul to reduce its trade surplus with washington. south koreais the second largest importer of u.s. cotton after japan. reuter"
