id,topics,texts
4016,iron-steel,"usx <x> proved oil, gas reserves fall in 1986usx corp said proved reserves of oiland natural gas liquids fell 28 pct to 802.8 mln barrels at theend of 1986 from 1.12 billion barrels at year-end 1985.    the figures, in usxs just-released 1986 annual report,indicate much of the drop resulted from the exclusion of 293.7mln barrels of libyan reserves, after the u.s. government lastjune directed u.s. oil companies to end libyan operations.    usx, which owns marathon oil co and texas oil and gas corp,had 60 pct of its 1986 sales of 14.94 billion dlrs from its oiland gas operations.    about 24 pct of total sales came from usxs uss steel unitand 16 pct from diversified businesses, which include oilfieldservices, raw materials, minerals, chemicals and real estate.    according to the report, domestic liquids reserves fellslightly to 628.5 mln barrels from 628.9 mln and foreignreserves fell to 174.3 mln from 486.4 mln barrels. the largedrop in foreign reserves was in the middle east and africa,where they fell to about 9.3 mln barrels from 316.7 mln,reflecting the exclusion of libya.    total natural gas reserves fell to 4.82 trillion cubic feetat year-end 1986 from 5.18 trillion at the end of 1985.    again, most of the drop came from the middle east andafrica, where reserves fell to zero from 71.9 billion cubicfeet, excluding libyan reserves.    u.s. natural gas reserves fell to 3.44 trillion cubic feetfrom 3.65 trillion and foreign reserves fell to 1.38 trillionfrom 1.53 trillion.    in other areas, usx said total capital spending fell to 962mln dlrs in 1986 from 1.78 billion dlrs in 1985. the 1986audited figure is eight mln dlrs higher than the unauditedfigure the company reported on jan 27.    usx also said it expects to record a gain of 150 mln dlrsin 1988, representing 50 pct of previously existing investmenttax credits allowable under the new tax law. the loss of theother half of the credits was reflected in the fourth quarter.    in a discussion of steel results, usx said plants that wereshut down last month and some previously idled plants may bepermanently closed. usx took a fourth quarter charge of 1.03billion dlrs to restructure its steel operations. the chargeincluded the ""indefinite idling"" last month of four plants inutah, pennsylvania and texas.    other plants or parts of plants in pennsylvania, indiana,alabama, ohio and chicago had been previously idled.    ""these operations are not permanently shut down. improvedmarket conditions for the products from these plants may makeit feasible to reopen some of them,"" usx said in the report.    ""on the other hand, a lack of any future market improvementmay necessitate their permanent closing,"" it added. reuter"
4022,carcass,"argentine meat exports higher in jan/feb 1987argentine meat exports duringjan/feb 1987 totalled 39,714 tonnes, against 36,594 tonnesshipped in the same 1986 period, national meat board said.    shipments in tonnes with comparative figures for the 1986period, in brackets, included: beef 26,945 (20,096), horse meat3,257 (4,211) and beef offal 7,660 (10,502).    argentines meat exports totalled 20,243 tonnes in february1987, against 19,217 tonnes shipped in the same 1986 month.    shipments in tonnes, with comparative figures for february1986, in brackets, included: beef 13,272 (11,464), horse meat1,543 (2,083) and beef offal 4,476 (4,672), the board added.    main destinations for refrigerated beef (bone inequivalent) were as follows, in tonnes, with comparativefigures for 1986 in brackets -    ec 5,500 (7,900), brazil 5,200 (unavailable), israel 3,700(3,000), peru 2,500 (800), singapore 500 (300), switzerland 500(400), canary islands 500 (300), malta 500 (700), aruba/curazao200 (300), chile 100 (600).    main destinations for canned meat and cooked beef (bone inequivalent), in tonnes with comparative figures for jan/feb1986, in brackets, were -    united states 11,200 (13,400), ec 4,700 (5,100). reuter"
4022,livestock,"argentine meat exports higher in jan/feb 1987argentine meat exports duringjan/feb 1987 totalled 39,714 tonnes, against 36,594 tonnesshipped in the same 1986 period, national meat board said.    shipments in tonnes with comparative figures for the 1986period, in brackets, included: beef 26,945 (20,096), horse meat3,257 (4,211) and beef offal 7,660 (10,502).    argentines meat exports totalled 20,243 tonnes in february1987, against 19,217 tonnes shipped in the same 1986 month.    shipments in tonnes, with comparative figures for february1986, in brackets, included: beef 13,272 (11,464), horse meat1,543 (2,083) and beef offal 4,476 (4,672), the board added.    main destinations for refrigerated beef (bone inequivalent) were as follows, in tonnes, with comparativefigures for 1986 in brackets -    ec 5,500 (7,900), brazil 5,200 (unavailable), israel 3,700(3,000), peru 2,500 (800), singapore 500 (300), switzerland 500(400), canary islands 500 (300), malta 500 (700), aruba/curazao200 (300), chile 100 (600).    main destinations for canned meat and cooked beef (bone inequivalent), in tonnes with comparative figures for jan/feb1986, in brackets, were -    united states 11,200 (13,400), ec 4,700 (5,100). reuter"
4035,veg-oil,"british minister criticises proposed ec oils taxa british minister said that a proposedeuropean community tax on vegetable oils and fats would raisethe price of fish and chips and he pledged the government wouldfight against it.    lord belstead, a junior agriculture minister, told thehouse of lords the tax would raise the price of raw materialsused in many processed foods by about 100 pct.    he said revenue should not be raised by taxing the consumerand called the proposal ""repugnant."" reuter"
4040,oilseed,"china's rapeseed crop damaged by stormsthe yield on 46,000 hectares (ha) ofrapeseed in central china will be cut by up to 70 pct byhailstorms and tornadoes that swept across nearly 100,000 ha ofcrops on march 6, the new china news agency said today.    the storm, which lashed the huai and yangtze rivers andeastern anhui province, left two people dead and 800 othersinjured. some 800 houses were flattened and 19 boats sunk, itsaid.    the anhui provincial government has sent emergency reliefto the 19 counties affected, the news agency said. reuter"
4040,rapeseed,"china's rapeseed crop damaged by stormsthe yield on 46,000 hectares (ha) ofrapeseed in central china will be cut by up to 70 pct byhailstorms and tornadoes that swept across nearly 100,000 ha ofcrops on march 6, the new china news agency said today.    the storm, which lashed the huai and yangtze rivers andeastern anhui province, left two people dead and 800 othersinjured. some 800 houses were flattened and 19 boats sunk, itsaid.    the anhui provincial government has sent emergency reliefto the 19 counties affected, the news agency said. reuter"
4047,grain,"taiwan's first quarter maize imports seen risingtaiwans maize import commitments areexpected to rise to 970,000 tonnes in the first four months of1987 from 870,000 tonnes a year earlier, a spokesman for thejoint committee of maize importers told reuters.    he said more than 75 pct of the imports come from the u.s.and the rest from south africa.    the maize import target for calendar 1987 is set at wellover 3.4 mln tonnes compared with an actual 3.07 mln in 1985,he added. reuter"
4047,corn,"taiwan's first quarter maize imports seen risingtaiwans maize import commitments areexpected to rise to 970,000 tonnes in the first four months of1987 from 870,000 tonnes a year earlier, a spokesman for thejoint committee of maize importers told reuters.    he said more than 75 pct of the imports come from the u.s.and the rest from south africa.    the maize import target for calendar 1987 is set at wellover 3.4 mln tonnes compared with an actual 3.07 mln in 1985,he added. reuter"
4056,cotton,"s.korea to buy more cotton, especially u.s. cottonsouth korea plans to import about 387,000tonnes of cotton this year compared to 225,000 tonnes in 1986,trade ministry officials said.    more than three quarters of the total, some 290,000 tonnes,will come from the united states. that will be a 93.7 pctincrease on 1986 when u.s. imports totalled 150,000 tonnes, anofficial said.    he said the u.s. increase is due partly to thecompetitiveness of american cotton and partly to efforts byseoul to reduce its trade surplus with washington. south koreais the second largest importer of u.s. cotton after japan. reuter"
4057,wheat,"awb says australian wheat sales over 10 mln tonnesthe australian wheat boards (awb)1986/87 export program is well advanced with over 10 mln tonnesalready sold, awb general manager ron paice said.    ""we are certainly within reach of our 15 mln tonne exporttarget for the year,"" he said in a statement.    he did not detail the commitments already made, but an awbspokesman said they include sales to egypt, china, iran, thesoviet union and iraq.    in the 1985/86 wheat year ended september 30, the awbexported a record 15.96 mln tonnes.    paice also said the 1986/87 australian wheat harvest hasended after a long, cool summer with 15.14 mln tonnes deliveredto the awb.    the season produced another good crop, with only 0.2 pct ofreceivals being downgraded to feed quality, he said.    however, it is likely that some weather-damaged grain wasstill being held on farms and further milling and feed wheatmay be delivered following the recent announcement of the finalguaranteed minimum price for 1986/87, he said.    paice did not give a crop estimate, but the awbs februarywheat australia publication put the crop at 16.7 mln tonnes.    but the awb spokesman said it is likely this estimate couldturn out to be too high, based on the receivals level, and thefinal crop figure would probably be nearer to 16.2 mln tonnes.the official estimate is not yet available.    in the 1985/86 season, the awb received 15.08 mln tonnes ofthe 16.13 mln tonne crop.    another 422,000 tonnes was retained on-farm and 620,000sold under the permit system introduced in 1984/85 to allowfarmers to sell feed wheat to the grain trade outside the awbsreceival system, according to bureau of agricultural economicsdata. reuter"
4058,gold,"north bh sets one-for-five offer for norgold floatnorth broken hill holdings ltd<nbha.me> (nbh) said it will offer one <norgold ltd> share forevery five nbh shares in the float of its newly created goldoffshoot.    the 20 cent par-value shares will be offered at 22 cents toshareholders registered april 3, nbh said in a statement.    norgolds issued capital will be 240.5 mln shares, of which63 pct will be held by nbh after 89 mln are issued toshareholders to raise 19.6 mln dlrs, it said.    norgold will take control of a portfolio of precious metalexploration and pre-development interests held by nbh.    the major gold deposit to be acquired by norgold is 100 pctof the bottle creek deposit, west of leonora in westernaustralia, nbh said.    production of gold from the project, at an annual rate of35,000 ounces, is scheduled to begin early in 1988.    norgold will also have a 10 pct stake in the coronationhill gold/platinum project in the northern territory and 43 pctof the poona copper/gold project in south australia.    other gold exploration interests to be acquired by norgoldare in western australia, queensland, new south wales andtasmania, nbh said. reuter"
